Referred Role,Total,Selected
Adjunct of the infinitive verb,1,1
Adjunct of the main verb,23,20
Adnominal adjunct of the direct object,1,0
Direct object of the infinitive verb,5,2
Direct object of the main verb,22,17
Gerund,1,1
Indirect object of the infinitive verb,1,1
Indirect object of the main verb,2,2
Infinitive verb,4,3
Main verb,11,9
Noun complement of the direct object,2,2
Noun complement of the main verb's adjunct,1,1
Noun complement of the subject complement,1,0
Participle verb,3,3
Subject,23,19
Subject complement,9,7
Whole sentence,40,32
